text,label
"If there ever was a film to show the art of cinema ""The Godfather"" is it. The visceral, dirty feeling through out the film shows the fantastic direction of Coppola and magnificent acting from Al Pacino, James Caan and Marlon Brando.",positive
The Godfather is simply one of the greatest movies ever made. I love the opening sequence. The drama and the crime is what really makes this movie phenomenal.,positive
Masterpiece!the way it was presented is phenomenal the slow screenplay the Music and the drama it was calm and dark at same time at start it was intro which was boring and way too slow then from the horse and johnny scene it was amazing ride!acting was iconic every one were amazing!ending was great the way mike turned his fate to no shit for gangsters to The Godfather it was amazing!overall most iconic movie!,positive
Watched for the first time in 2020 over 3 sittings. I can see why it's considered one the greatest of all time.,negative
"Best movie ever made, no questions when it comes to it, never gets old.",positive
"Timeless classic. IMO, slightly better than 2 but both are masterpieces",positive
Cinematic perfection. Enough said.,positive
perfection. it beautifully yet bluntly depicts the dark life of the mafia,positive
"I don't know what to say about this film, maybe nothing should be said, it speaks for itself.",positive
"la pelicula es buena,pero a mi no me volvio loco,me aprecio muy larga 7/10",negative
Instant masterpiece,positive
"Going by Rotten Tomatoes description of what each star means, NO, it did not pass the time. This is my most controversial opinion, so odds are you disagree with me and that's fine. This movie was required viewing for me and I did my time. But that's all I felt it was for me. It wasn't entertaining, it didn't intrigue me, it was too slow and overlong at 3 hours, and I couldn't connect with the Italian mafia (least of all with Marlon Brando, who I believe to be at his laziest whenever aboard a Francis Ford Coppola set, like when I had to watch the superior ""Apocalypse Now""). The movie's well made and contains one or two surprising deaths, but the rest of the story's a predictable, albeit decently written, mess. I got lost during the wedding sequence, which isn't a good sign when it's the opening of the film. I watched the sequel as well out of obligation and it gets even worse. I'll never give a film a 0 because work was involved and care was clearly put into each film I've seen. For example, this one had luscious set designs. To put this into MY scale, I'd give it a 6/10 or 3 stars, but by RT standards, they say since it didn't pass the time and I didn't like it, if I'm being really honest with myself, it's a 1.5 star at best. Sorry, everyone. I know it's your favorite, but I'd rather watch Once Upon A Time In America (the original 4 hour cut) or if your gonna force Coppola on me (give me a movie directed by Sofia Coppola) or if I have to watch my favorite Francis Ford Coppola film it's surprisingly not even ""The 'underrated' Conversation"", but ""The Outsiders"". Can I leave the lecture room now? I did my 7 hours. I owed it to cinema history and I'll give it another go in a few years, but for now, adios.",negative
"This review may contain spoilers. 5 out of 5 for Marlon Brando's acting it was extraordinarily And about the movie the best mafia movie I have ever seen in my entire life lots of my friends told me to watch this movie for a long time, it a shame I didn't watch this movie this long The best scene in this movie which I like is that evil look of Al Pacino while the assassination of other Dons ""The Baptism Scene"" I really loved it",positive
"Haha trumptards now on this thread, angry about The Godfather - what a time to be alive",positive
"Sure one can appreciate what a piece represented for it's time and how it spawned derived works but this doesn't change the fact that ignoring sentimentality, this film doesn't hold up to the test of time.",negative
This is a rotten tomato.,negative
some best movies ever,positive
"One of the most beautiful pieces of cinematography I have ever laid my eyes upon. I loved this film entirely and thoroughly. The acting was incredible, I am well and truely in love with Al Pacino and want nothing more to be Kay Adams for a day. The Casting director for this film is highly qualified as they made perfectly clear in their divine selection of actors. The plot line was engaging, interesting, gripping, other synonyms for a bloody good story. The film has the perfect amount of violence, didn't go overboard and still managed to make their point. The cinematography of that baptism scene will stay with for a long time it was just beautiful. The lighting and the gold tinting and the baby in the lace - so graceful, so divine. I love this film.",positive
One of my favorite films ever and my favorite mob film,positive
Godfather & Godfather II are the greatest movies of all time!!!,positive
"The Godfather combines stunning cinematography with an intense yet surprisingly effective narrative. Marlon Brando and Al Pacino give it their all, and superb acting is one of the movie's driving factors. The action is quite realistic, and the characters are layered and believable. The Godfather will forever be known as one of Hollywood's greatest achievements.",positive
"Sicilian Mafia working in America, the notorious head of the family, Don Corleone, fighting for the pride of the family. The epic mafia films pictured the mafia well, awesome.",positive
One of the greatest motion pictures in film history.,positive
"I liked the movie because It's a very realistic scheme of a gangster life. At least it seems. Furthermore, the principles of Vito Corleone inspired me a lot, as well as his capacity to dialogue with his rivals. He is a fearless man, that calculates every single step he and his family does, and never refuse a good proposal. Therefore, there's a lot of stuff we can admire from it.",positive
"This film isn't for everyone, I admit that. But for those who enjoy a good story but don't mind the wait to climax, WATCH THIS. The story is the portrayal of the fall from grace of Michael Corleone. Michael is a tragic hero. Caught between an innocent outside world and the criminal underground of his family, he makes decisions we would've made as well. The plotline and characters are worlds in themselves. The city itself serves as a backdrop into the fascinating world that makes this film so great. The violence is satisfying, the scenery and camera work beautiful. Every scene in this film was a work of curated art. Not to mention the church scene which is instantly a memorable movie scene. What I especially enjoyed in this film was the dedication to the original book that Mario Puzo wrote. Reading the book after watching the film made me appreciate the attention to detail. 5/5. Beautiful. A must watch.",positive
melhor filme que já assisti na minha vida,positive
It's better than the second one,positive
"This mob drama was really good. Marlon Brando and the rest of the cast did a spectacular job in this classic movie. The plot to the movie was great and some unexpected things happened that were kind of gruesome. Putting that aside, this movie is a definite must see. Kids shouldn't see this movie, but adults will enjoy it.",positive
The Greatest Movie of ALL TIME IMHO!!,positive
"Love this movie! A true classic, never gets old. It was even better seeing it on the big screen!",positive
An amazing classic gangster movie! Must watch!,positive
"The fact that this movie doesn't have 100% from everyone is a disservice to how amazing it is. The screenplay, the acting, the story, the scenery...I mean, this movie is about as flawless as one can be. You don't even need to enjoy ""gangster films"" or be intrigued by the Mafia to love it. It's an instant classic and everyone should watch it at least once. A cinematic masterpiece. I can't leave a long enough review to give it justice. If you haven't seen this yet or are on the fence about it, please watch it. You won't be disappointed. Don't let the over 3 hour play time scare you, it's worth it!",positive
"So many iconic scenes. I can't believe I've lived so long without watching this. It has definitely changed my view on filmography. By the end of the film, you won't believe you just watched a three-hour film because of how packed it is.",positive
"The Godfather is excellent Melo drama of crime film. About family, social, personal of our self about what should we do for protect the family and bring a punishment for bad people, and we also must teach a bad people with kindness not with violence.",positive
The greatest movie of all time!,positive
Without a doubt one of the greatest and most important films EVER made. But one begins to think if its “timely values” still quite hold up in this day and age? I guess only more time and vengeance will tell.,positive
He made me an offer I couldn't refuse.,positive
Peter Griffin Didn’t Like It But I Did,positive
"It uses every frame of its time to humanize then destroy a family, making their trade and income unimportant, and changing the world of film in the process. The best ever, period.",positive
"You generally review a movie with an additive mentality, where every good aspect you acknowledge contributes to add up to the final score. In the case of universally acclaimed movies such as this one, it's the opposite: you try to find flaws that can reduce a preconceived 5-star rating that social pressure creates. Well, there are no flaws here to be found. And if I missed them, rest assured that this epic crime drama has so much to offer that they wouldn't matter. Memorable actors, brilliant direction, groundbreaking lighting, compelling screenplay, evocative soundtrack. It's a three-hour journey that manages to feel too short, leaving you craving for more. The movie deals with so many themes that you could write books about it, and so they did. People study this movie, and for good reasons.",positive
98 percent this the best movie ever made. I’ve watched and loved it at least twenty times.,positive
The Godfather possibly the greatest movie ever made,positive
This is the greatest American Film ever created. Prove me wrong,positive
"This movie is Ford Coppola at his iconic, captivating and world building best. Vito Corleone is such an intriguing and interesting character to see on screen, which is just one of the many reasons that this 2h 57m runtime flies by.",positive
